round,test_loss,test_acc
0,2.3036515605926513,0.1006
1,1.8614866416931153,0.4156
2,1.3736917404174804,0.506
3,1.2649752143859863,0.5383
4,1.1250293511390685,0.5924
5,1.0537012456893922,0.6202
6,0.9902523506164551,0.6442
7,0.9235216270446778,0.6748
8,0.887273752117157,0.6856
9,0.8612378728866578,0.6958
10,0.8254459089279175,0.7118
