round,test_loss,test_acc
0,2.3033341930389404,0.0999
1,1.9558056148529053,0.396
2,1.3773609092712402,0.5011
3,1.2519825708389283,0.5485
4,1.1484686714172363,0.5905
5,1.0739391653060912,0.6116
6,1.0128304330825806,0.6383
7,0.947921877861023,0.6618
8,0.9269325469017029,0.6761
9,0.8726333192825317,0.6905
10,0.8369467975616455,0.7065
