round,test_loss,test_acc
0,2.30304072265625,0.1
1,1.854430265045166,0.4023
2,1.3426885272979736,0.5093
3,1.2443290489196777,0.5475
4,1.1407674417495728,0.5849
5,1.0578254692077638,0.6249
6,0.9994344672203064,0.6474
7,0.9572409745216369,0.6624
8,0.9151430397987366,0.6709
9,0.8740014427185059,0.693
10,0.8361492531776428,0.709
