epoch,train_loss,test_loss,test_acc
1,1.5641727642059327,1.3336708988189698,0.5162
2,1.203996056137085,1.105503403186798,0.6018
3,1.0207541297531129,0.9498648229598999,0.6608
4,0.9000400434875488,0.8631953203201294,0.6978
5,0.804087330417633,0.8827501515388488,0.6957
6,0.735501884803772,0.772145073890686,0.7316
7,0.6751462018013,0.7598202575683594,0.7355
8,0.6132191795921326,0.7242102289199829,0.7514
9,0.5659187868309021,0.8184437385559082,0.7325
10,0.5134252220535278,0.7195561829566955,0.7606
